subgraph_id,ipfs_hash,signal_amount,active_indexers,indexer_sync_percentages,indexer_count,query_volume_30d,query_volume_days,indexers_responding,indexers_synced,indexers_healthy,sync_percentage
2LzmAwGnnx9QFCWFKXcQSW25NSmWdPz2xmyhvNdhiMiV,QmbQYPw1hwetxokYJ2RsmZwSdz8wTwokM67SQuaYPVt1Hv,0,None,None,0,0,0,0,0,0,0%
2LzmAwGnnx9QFCWFKXcQSW25NSmWdPz2xmyhvNdhiMiV,QmcgQDL7geSKZPeaTtYtKtxo83kGkLBhjcArT85jhWnbEo,1379497437692995274,None,None,0,21,30,0,0,0,0%
2sPwHiwmBhF1JN1eh5cBLpVvdMBED9ifu3vvn1gyhpsW,Qmd6UuNsMoDK2RURU8xXdi65Ce6Uk45m8SErozw1ewSXra,999999999999999999,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,24,30,1,1,0,100.0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmbrFUBJRnh5yKwxiem6KEzEtbdcNuU3VT9qUVYitVBGvw,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmV316dNff6bqBin7eJw6kSf3hJeNNb5iQmYEHFDCpPu9s,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmYDPeVD8tZ3JueTYcpSuXGtphGBJ2nx8YwePAqnorjM23,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmehdE6BS2uPR6avHoMS7AaN6ethqPQPLASro4joc74kPA,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmUvzsQqif41g2vc1XticrAFy6GtE9EwTyYeRVwM7CY4Wu,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmRAmjU6WWfB6SZbqhSWUrnAZRdzhpD6PARXjLMJXtoZPZ,1464559034622456391218,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51, 0xedca8740873152ff30a2696add66d1ab41882beb","100%, 100%, 99%",3,79380,30,3,3,3,100.0%
3LAyKe1ULM4nA3cUFRgWzY3U8wSMXSMyAHZLxzxrTZ2c,QmVGXxWk85ASzfdtHa5XphGSZzFmi4AuUne8dv3aC2jz6z,0,None,None,0,0,0,0,0,0,0%
3LAyKe1ULM4nA3cUFRgWzY3U8wSMXSMyAHZLxzxrTZ2c,QmWRzcHZRwgJGCtSiW1pGLs6aVYnYKeEeVBcke2jQ7qp2Q,0,None,None,0,0,0,0,0,0,0%
3LAyKe1ULM4nA3cUFRgWzY3U8wSMXSMyAHZLxzxrTZ2c,QmNyYATJuzcWWHFGWM2Gnf2XrP7beCm8EeFxmdAdX4muYH,1803436187886036693705,"0x35917c0eb91d2e21bef40940d028940484230c06, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e, 0xe13840a2e92e0cb17a246609b432d0fa2e418774","100%, 100%, 99%, 97%, 99%, 99%",6,2809300,30,6,6,6,100.0%
3V7ZY6muhxaQL5qvntX1CFXJ32W7BxXZTGTwmpH5J4t3,Qmcdu8weFbmtZpeZaGs8vCpSdWKRPwyvDMX6CftYnW2KZB,22539621048100658363639,"0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xeccdf8231326a9c5aad32df76a633aaa4c49b104","100%, 99%, 93%",3,10630694,30,3,2,3,100.0%
3a88zQrAoRYVhPKzzQXwUB4ZkTHohjq1nU5onxyvsZMK,QmQXxC5kmwU6QTPAwL7YGKRrgxfypEa7gfQShtf1UH18gV,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,4,30,1,1,1,99.0%
41aFCdU2ofcR5KRrvFN5jxePAPjDaY2c1di5mZdmPqND,QmVbcDcT2s2BViXjqjLRqYDHRFgi5sJVjjf6KqKxbW8Csv,9126928009318975221789,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0xdecba5154aab37ae5e381a19f804f3af4d1bcbb5, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x4e5c87772c29381bcabc58c3f182b6633b5a274a, 0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51","100%, 100%, 99%, 100%, 99%, 81%, 87%, 100%, 99%, 99%",10,7904781,30,10,10,7,100.0%
4oYKWwTeEzJaFnRM7YtT2SsogtdtiWonHb3hiS3eMRWo,Qmb27RY3RqP98UMKbTgScf6F7hhokfMuS9fV7VAtPiZHwF,11724314838275978414933,"0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x38f412c8d6346a17a53ff9ceecd2e01acecd27c0, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce, 0x9082f497bdc512d08ffde50d6fce28e72c2addcf, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51, 0xdecba5154aab37ae5e381a19f804f3af4d1bcbb5, 0xf00f7157fa8fd0420b87956d46058a16b2f23adc, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d","100%, 100%, 100%, 100%, 100%, 99%, 99%, 100%, 99%, 100%, 100%",11,16089025,30,11,11,10,100.0%
57oNmeb9XpMYMMA58dtTzNLD2WNJhFDDSdjSLLoUBh8T,QmVY7cKn81VaZE1HhjXdL8a7vRvzbTFrgsWMzpVzQBmdz4,0,None,None,0,0,0,0,0,0,0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmY6FLAhghwGn2gh9cb299sySZ2DUY8GkSh1A1PesfmUcC,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,0,0,1,1,1,99.0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmaeK2QJGUf9w2noLvUwExca5uHgjGkM8b3J3bA9iMGwvW,0,None,None,0,0,0,0,0,0,0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmPdH9fdeioZcnX38e2ucPhzaRVfLHAaWnNKerZqfPgiYJ,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,0,0,1,1,1,99.0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmXudkz7JaVMBW6KB7qi2Py5aYzYaiykJHgmphiHdUrKvU,991621087221674159420,"0x35917c0eb91d2e21bef40940d028940484230c06, 0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4","100%, 100%, 100%",3,228578,30,3,3,3,100.0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,Qmc3ZNr4CzQ9pFwWYP1BrgDnDD13kW9g8YxXrT5JRVqgZP,0,None,None,0,0,0,0,0,0,0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,QmcCfjyJcHsKWauM9j8ShavSAt4PyxiudxJG61fYxu7ede,0,None,None,0,0,0,0,0,0,0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,QmXD7aASkZG7Lj39Ek8jH5mhqgokrb95CTywixueDeNwKZ,0,None,None,0,0,0,0,0,0,0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,QmNbdixvustXQm4pSWbj6CmVmX2Qw6JbAdBTFbKZvSsSZh,495249087677355665394,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51","100%, 100%",2,79376,30,2,2,2,100.0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,Qma6vGQGtbN329VUPdev5r8mdjNSXVVRTScSaZd7VNPdv5,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmRq5vzRGvp5Sq1NBnSVggkLFC4TQLrdnW5ZPf29ZyYRrm,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmV2WQzbXvm6SZyqDXpg8GtxkXJuDey6PemWo91FLZLefR,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmQFGSPqZVwqyhPtmqdbc41mqaXA3U2NkXE5Z1iAn1T3tR,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmegqhCaVZoq94q9wyHSP2ALSHdyKuPYEwSozK87UT6XiZ,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,2,30,1,1,1,100.0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmYuA3jRyNdL7YyzNiXTSzDNkDMYNhSKKF83J4ggRQFXbp,967930592946559660401,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x3b9ba748691f135b71582dc3292e5e3ed7e13341, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x35917c0eb91d2e21bef40940d028940484230c06","100%, 100%, 100%, 100%",4,79691,30,4,4,4,100.0%
6f2Z8rTvsBQinEMwRSBxbyg3BP2LTFiEA1hjPZxmy3xs,QmZii4t3cRhV4ipMsdkETyeVkCBx41CHxuyfLjVR7zdVRM,5611154267186253746153,"0xf00f7157fa8fd0420b87956d46058a16b2f23adc, 0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0x0058223c6617cca7ce76fc929ec9724cd43d4542, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51","99%, 100%, 99%, 99%, 100%, 99%, 99%",7,51620,30,7,7,5,100.0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,Qmbk6v8NrwfVwufk5t9wfoGQMADVymrxLnM6ReQRbDQYfC,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmVJep6HL7r4Z51sTctv9j12sRK7cfnCNgS9JKVdavtb1g,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,0,0,1,1,1,99.0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmdChDc6oXUXpt2cHQVMbmPACoqxu6bD2YekxQjFtvvWzh,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,132,30,1,1,1,99.0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmaXrXNZYjCiYZc5CCGr9rc1XzuZaqQtzv2J9zbMEbaz2v,1404771861758690449140,"0x3e1536fc83cd5bed83a521a26034ff3e59c6a7c4, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51, 0xf92f430dd8567b0d466358c79594ab58d919a6d4","100%, 99%, 99%, 100%",4,79249,30,4,4,4,100.0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmaDUHxBtXhDYJJ7DRXGMGfoq2WqbxP7DQb7ban2mqmyHq,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmbfrofR6f8W38QZQdmLWRTt8uP5SDRwEy7HdiWHVyHEoZ,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmQvx3axMVdsm3EMr6vuvDS2bJSbtNmTpvq5EquRrMJ9dC,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmR5rgva4P1j1ijtet7VFKYDqvJwPhfHiUtQubPA3emYSn,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,0,0,1,1,1,100.0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmW2AWcwwpHxYdV11FVD8Eh7UQB8XWUvBMZdrNG5Acip2U,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmSyR8xnaAwGXhAA2DT65HMN5AT2B1AT8DN1R1syehwSLs,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmdLUt6UUgtoRofiqPcpCbLBY5ArawsXTv8zWv19JkrBSp,0,None,None,0,0,0,0,0,0,0%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmNkpRvjVHc5XStoaDoFuJq79D8VzjBSFwozWj3EAFPzJ6,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,0,0,1,1,1,99.0%
71ZkLj7benQXYSTPWQP7Uj3W1QG2AjRmB1xZb4uezaZ8,QmUeFid4o6di9PL6dCWEJcuLo8hWAjbkNbpHgcVkpY9das,0,"0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491, 0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491","99%, 99%",2,4,30,2,2,2,99.0%
7PCcxpeco1VPmLTAUkM1yRQkocQtYJoo7RLHRDvqaRq,QmeYmmwMb8YcT3EAcNkf4sm8oqxsmXPqaAE1MDy6PoGzoh,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,629556,30,1,1,1,100.0%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmRVtQMStKBEhGFaymiF8eRWNFDrnati1Fw9Cx5WV6esx4,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,0,0,1,1,1,100.0%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmVsVgYPTKHBJMxS4w2fGRJSxkv2ZSnBskEgRcxSr642bb,0,None,None,0,0,0,0,0,0,0%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmNq943mFmYPbBtvSqfPVsPSxKZHZmgDSsZc9hTCNLe4pq,0,None,None,0,0,0,0,0,0,0%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmNQAzgQHAyC44X8vH1AQGnSjGVvLTTDj8P9cfSyQmv8Fs,0,None,None,0,0,0,0,0,0,0%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmSqW4hUovD4JHyeLHzybbaeZCosDSP9oPsncVVp7LB7oa,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,0,0,1,1,1,100.0%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmY9gALcpGpsaJmduHXv4HscciZ6pks2SAURXG9qXb3Kvd,1465010003410943025517,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x3b9ba748691f135b71582dc3292e5e3ed7e13341","100%, 100%, 100%, N/A",4,79375,30,3,3,3,100.0%
8e4dRt4P4WHXnKbEq7STaQfU2g99WZ5S4w39f2PcUTjD,QmXDAaE7sT2bVe4prmZgdSXi34EGRjpULTnF9bKi3qrwFB,8472779185237532001475,"0xfc842f81490dcb37e82d416b2d28327dfb24ba9a, 0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x9082f497bdc512d08ffde50d6fce28e72c2addcf, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xf00f7157fa8fd0420b87956d46058a16b2f23adc, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51","99%, 99%, 93%, 93%, 99%, 100%, 100%, 99%",8,12853573,30,8,6,6,100.0%
8izmtZD5rDqFUaCZS1F4QAkfNjHtHFC9NPeySS5uBFAc,QmfCHcDDoqSvVVMVN1F2L8uf2Yetz3jSxsNbCobLrX89vX,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,4,30,1,1,1,100.0%
9TmekCrdTapofV85K3qMDMy2atpohxwrtgDYkY8JS3hL,QmfT81J8cwSb5yoi7HhrnBa6sqhs9qYYhPjGCKNFH5zLQv,9904757928570271888860,"0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xfc842f81490dcb37e82d416b2d28327dfb24ba9a","100%, 99%, 99%",3,165343,30,3,3,3,100.0%
9WeMybf9o5fGpbKWFzrZz9dQi3YZ5VWrF5v3UyrWN4VP,QmSuLTQLzHJkrJcLJFsciEiVkr5imuLUB4vz9QFRhaDTK5,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,25%,1,0,0,1,1,0,25.0%
9WeMybf9o5fGpbKWFzrZz9dQi3YZ5VWrF5v3UyrWN4VP,QmaSvcvCU1uFuBPPFboNAfF56tdrpxNBTQhQvR8cWccoHn,0,None,None,0,0,0,0,0,0,0%
9WeMybf9o5fGpbKWFzrZz9dQi3YZ5VWrF5v3UyrWN4VP,QmRkLi7mXfuWhezpbnpWryCQjSWLAkuxmTwe9oR3WAbq41,1788048332033235358817,"0x6f3ce93a09f30f18d728d2364268b5fe9444b89e, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0xdec965f0604125be05cd8a136c85d02ef344d61a, 0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xdeb712db301285ed483ef9e02dd08a1980f273f1, 0xaa988dcb035518bc0e20082a3148a5d3dfd1776d, 0x3f74870f80ff7449fe4c6ff257da5fa72734c970, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x326c584e0f0eab1f1f83c93cc6ae1acc0feba0bc","100%, 100%, 99%, 99%, 100%, 99%, N/A, N/A, N/A, N/A, N/A, N/A",12,1463420,30,6,6,6,100.0%
9a4tXnJu1v5KFnJUinVBvGoE7bAE9pPW8hUC5myE5v3t,QmZZ7ZWoNnaGjD2Zf4z17nsTWuvaHdWLy3jpzCtH5Ydxrm,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,58%,1,0,0,1,0,0,58.0%
9a4tXnJu1v5KFnJUinVBvGoE7bAE9pPW8hUC5myE5v3t,QmQHngyzMVEH96w5BYgmvKvmJNPskA53Ap6fLZJ1vtcBZT,1871582688456980106537,"0xaa988dcb035518bc0e20082a3148a5d3dfd1776d, 0xdec965f0604125be05cd8a136c85d02ef344d61a, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x326c584e0f0eab1f1f83c93cc6ae1acc0feba0bc, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x3f74870f80ff7449fe4c6ff257da5fa72734c970, 0x6f3ce93a09f30f18d728d2364268b5fe9444b89e, 0x9082f497bdc512d08ffde50d6fce28e72c2addcf, 0xdeb712db301285ed483ef9e02dd08a1980f273f1, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51, 0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e, 0xf92f430dd8567b0d466358c79594ab58d919a6d4","100%, 100%, 100%, N/A, 100%, N/A, N/A, N/A, N/A, N/A, 100%, 99%, 100%",13,3003347,30,7,7,7,100.0%
A1fvJWQLBeUAggX2WQTMm3FKjXTekNXo77ZySun4YN2m,QmZQ2rF1Fsqbo3VbEpMBoB7hitCTGdYqn2CMB4bb3kkEyS,0,None,None,0,0,0,0,0,0,0%
A1fvJWQLBeUAggX2WQTMm3FKjXTekNXo77ZySun4YN2m,QmUwBMokciw5TY5kHYtqMXXuZdymDy2knYpRxHwqiy85od,22198623850787286522680,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xedca8740873152ff30a2696add66d1ab41882beb","98%, 66%",2,2536293,30,2,1,0,98.0%
AAHFozW6KF553DsmqZkY7SRNLngP3vgrTMig2oxmfmfh,Qmbbdob8cWX9t6ZHNZoNATrEvTX3ohvSSt7x1hXvUvidKr,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,55%,1,0,0,1,1,0,55.0%
AAHFozW6KF553DsmqZkY7SRNLngP3vgrTMig2oxmfmfh,QmfK6m6t5BsKQufVqwbAWbTVCrKdot6CzFzptk99dBeR5n,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,N/A,1,0,0,0,0,0,0%
